Index	Symbol	Company	MarketCap	Price	%Change	Revenue
1	MSFT	Microsoft Corporation	3,002.34B	404.06	-0.61%	227.58B
2	AAPL	Apple Inc	2,815.21B	182.12	-0.95%	385.71B
3	NVDA	NVIDIA Corporation	1,793.54B	726.13	-0.06%	44.87B
4	AMZN	Amazon.com, Inc.	1,760.77B	169.51	-0.17%	574.79B
5	GOOGL	Alphabet Inc.	1,753.52B	140.52	-1.58%	307.39B
6	META	Meta Platforms, Inc.	1,206.32B	473.32	-2.21%	134.90B
7	BRK.B	Berkshire Hathaway Inc.	880.43B	405.99	0.63%	401.78B
8	GOOG	Alphabet Inc.	803.92B	141.76	-1.51%	307.39B
9	LLY	Eli Lilly and Company	742.42B	782.06	3.20%	32.07B
10	TSLA	Tesla, Inc.	636.80B	199.95	-0.25%	96.77B
11	AVGO	Broadcom Inc.	583.06B	1,245.48	-1.55%	35.82B
12	V	Visa Inc.	558.92B	278.56	-0.86%	33.35B
13	JPM	JPMorgan Chase & Co.	517.58B	179.03	-0.47%	148.78B
14	UNH	UnitedHealth Group Incorporated	482.39B	521.55	0.13%	359.98B
15	WMT	Walmart Inc.	458.65B	170.36	0.63%	638.79B
16	MA	Mastercard Incorporated	433.96B	468.13	-0.67%	25.10B
17	XOM	Exxon Mobil Corporation	414.58B	103.73	-	355.67B
18	JNJ	Johnson & Johnson	376.86B	156.55	-0.11%	95.33B
19	PG	The Procter & Gamble Company	370.62B	157.51	0.32%	83.93B
20	HD	The Home Depot, Inc.	360.63B	362.35	0.35%	153.71B
21	MRK	Merck & Co., Inc.	323.82B	127.79	0.99%	59.31B
22	COST	Costco Wholesale Corporation	321.25B	723.99	-0.07%	245.65B
23	ABBV	AbbVie Inc.	313.37B	177.49	0.51%	55.14B
24	ORCL	Oracle Corporation	305.98B	111.31	-1.30%	51.63B
25	CVX	Chevron Corporation	291.02B	154.63	0.11%	195.16B
26	AMD	Advanced Micro Devices, Inc.	280.94B	173.87	-1.63%	22.68B
27	CRM	Salesforce, Inc.	280.45B	289.72	-0.76%	33.95B
28	BAC	Bank of America Corporation	269.78B	34.09	0.06%	101.15B
29	KO	The Coca-Cola Company	256.77B	59.39	-0.02%	45.75B
30	NFLX	Netflix, Inc.	252.71B	583.95	-1.60%	33.72B
31	ADBE	Adobe Inc.	247.09B	546.66	-7.41%	19.41B
32	ACN	Accenture plc	231.66B	369.48	-0.55%	64.59B
33	PEP	PepsiCo, Inc.	228.60B	166.32	-0.92%	91.47B
34	MCD	McDonald's Corporation	211.81B	292.02	0.05%	25.01B
35	TMO	Thermo Fisher Scientific Inc.	211.67B	547.84	-0.13%	42.86B
36	LIN	Linde plc	209.29B	431.63	0.69%	37.29B
37	DIS	The Walt Disney Company	204.71B	111.60	-0.76%	88.94B
38	ABT	Abbott Laboratories	197.93B	114.01	0.33%	40.11B
39	CSCO	Cisco Systems, Inc.	196.83B	48.44	-1.26%	58.03B
40	TMUS	T-Mobile US, Inc.	190.39B	160.41	-0.72%	78.56B
41	WFC	Wells Fargo & Company	188.52B	51.91	-0.25%	82.60B
42	DHR	Danaher Corporation	184.80B	250.00	0.42%	24.98B
43	INTC	Intel Corporation	183.96B	43.51	-1.23%	54.23B
44	INTU	Intuit Inc.	183.57B	655.74	-1.29%	14.75B
45	IBM	International Business Machines Corporation	171.34B	187.64	0.41%	61.86B
46	QCOM	QUALCOMM Incorporated	170.40B	152.69	-2.11%	36.29B
47	VZ	Verizon Communications Inc.	170.23B	40.49	-0.25%	133.97B
48	AMAT	Applied Materials, Inc.	166.05B	199.57	6.35%	26.49B
49	CAT	Caterpillar Inc.	163.88B	321.91	-0.36%	49.99B
50	CMCSA	Comcast Corporation	163.41B	41.24	-1.34%	121.57B
51	GE	General Electric Company	162.34B	149.16	0.53%	67.95B
52	UBER	Uber Technologies, Inc.	161.36B	78.41	-3.66%	37.28B
53	NKE	NIKE, Inc.	156.84B	103.51	-2.40%	51.54B
54	NOW	ServiceNow, Inc.	156.83B	765.00	-1.92%	8.97B
55	PFE	Pfizer Inc.	155.95B	27.62	0.40%	68.54B
56	AXP	American Express Company	154.90B	212.56	0.01%	55.59B
57	AMGN	Amgen Inc.	151.83B	283.70	-1.86%	28.19B
58	UNP	Union Pacific Corporation	150.37B	246.59	-1.58%	24.12B
59	TXN	Texas Instruments Incorporated	145.83B	160.38	-0.21%	17.52B
60	MS	Morgan Stanley	141.97B	86.50	0.97%	54.00B
61	PM	Philip Morris International Inc.	139.18B	89.65	0.75%	35.17B
62	ISRG	Intuitive Surgical, Inc.	133.40B	378.63	-0.41%	7.12B
63	SPGI	S&P Global Inc.	133.04B	423.57	-0.22%	12.50B
64	SYK	Stryker Corporation	132.71B	349.30	0.15%	20.50B
65	COP	Conoco Phillips	131.29B	110.57	-0.39%	58.57B
66	LOW	Lowe's Companies, Inc.	130.46B	226.85	-0.65%	90.22B
67	HON	Honeywell International Inc.	129.98B	197.17	-0.39%	36.66B
68	BKNG	Booking Holdings Inc.	129.68B	3,716.84	-0.90%	20.63B
